epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5744,0.8586,2.582,1.23401,0.98467,0.10415,0.71732,0.52547,0.86072,2.68634,1.36952,0.000410354,0.000410354,0.000410354
2,58.9624,0.93242,1.57805,1.25476,0.62612,0.56311,0.62326,0.40381,1.21097,2.076,1.71035,0.000786083,0.000786083,0.000786083
3,86.7461,0.98885,1.44703,1.28995,0.78208,0.63343,0.73822,0.50748,1.05887,1.81714,1.44329,0.00112056,0.00112056,0.00112056
4,115.648,0.9643,1.38187,1.28235,0.7858,0.65708,0.75393,0.52547,0.96565,1.66615,1.39568,0.00106437,0.00106437,0.00106437
5,145.043,0.92036,1.2289,1.23636,0.74198,0.56831,0.64997,0.41914,1.20943,2.18296,1.65531,0.0010025,0.0010025,0.0010025
6,173.876,0.90621,1.13232,1.24187,0.79506,0.79746,0.85683,0.62741,1.00421,1.23698,1.48092,0.000940625,0.000940625,0.000940625
7,213.844,0.86996,1.07886,1.21356,0.72521,0.73345,0.82466,0.62185,0.87725,1.39367,1.28337,0.00087875,0.00087875,0.00087875
8,260.109,0.86549,1.03588,1.20134,0.85474,0.78729,0.87982,0.6778,0.94532,1.03153,1.40022,0.000816875,0.000816875,0.000816875
9,310.724,0.82187,0.96057,1.18468,0.81278,0.65911,0.7754,0.58768,0.95119,1.50688,1.40621,0.000755,0.000755,0.000755
10,349.792,0.81285,0.90267,1.17728,0.91026,0.78225,0.88711,0.71019,0.89109,1.02496,1.34441,0.000693125,0.000693125,0.000693125
11,426.817,0.74233,0.93985,1.14088,0.86104,0.72605,0.85767,0.65235,0.9293,1.3181,1.38764,0.00063125,0.00063125,0.00063125
12,458.428,0.71288,0.81884,1.12395,0.85619,0.74762,0.84399,0.65127,0.97167,1.08669,1.4598,0.000569375,0.000569375,0.000569375
13,485.147,0.69853,0.78032,1.11985,0.89627,0.81051,0.89529,0.70984,0.82625,0.89336,1.23511,0.0005075,0.0005075,0.0005075
14,514.122,0.66912,0.70529,1.08209,0.91211,0.81534,0.9161,0.734,0.82067,0.99991,1.34429,0.000445625,0.000445625,0.000445625
15,545.034,0.64753,0.67133,1.08072,0.87781,0.79852,0.89219,0.71294,0.86333,0.90579,1.32439,0.00038375,0.00038375,0.00038375
16,571.24,0.62774,0.63581,1.06634,0.82333,0.87105,0.90191,0.71919,0.86291,0.73937,1.29019,0.000321875,0.000321875,0.000321875
17,597.79,0.5914,0.59238,1.02442,0.95187,0.86237,0.94088,0.76248,0.85448,0.64025,1.28557,0.00026,0.00026,0.00026
18,623.885,0.5867,0.55145,1.01421,0.94184,0.8672,0.94208,0.76447,0.79693,0.59221,1.19037,0.000198125,0.000198125,0.000198125
19,650.134,0.5515,0.51489,0.99806,0.95974,0.87344,0.94168,0.7768,0.80147,0.57933,1.18416,0.00013625,0.00013625,0.00013625
20,681.257,0.54764,0.50634,0.99111,0.93635,0.90256,0.94963,0.79135,0.75375,0.54446,1.15158,7.4375e-05,7.4375e-05,7.4375e-05
