epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8438,1.72338,3.45271,1.6019,0.00386,0.62994,0.00321,0.00195,1.49313,inf,1.69634,0.00051677,0.00051677,0.00051677
2,44.4669,1.56974,1.77266,1.46202,0.08488,0.18495,0.07081,0.04007,1.57907,inf,1.71051,0.00102942,0.00102942,0.00102942
3,63.9754,1.59117,1.64054,1.49614,0.01047,0.22302,0.00836,0.00288,2.55289,inf,3.90105,0.00152094,0.00152094,0.00152094
4,82.5956,1.58891,1.63624,1.49375,0.07161,0.04156,0.01742,0.00766,3.17182,5.07837,5.63008,0.00156798,0.00156798,0.00156798
5,102.145,1.55508,1.50883,1.46214,0.72572,0.23022,0.27266,0.11051,2.06891,3.68778,2.16664,0.00153497,0.00153497,0.00153497
6,122.309,1.54652,1.5218,1.46478,0.60205,0.46828,0.4798,0.24204,1.67404,1.90906,1.72704,0.00150197,0.00150197,0.00150197
7,142.118,1.54399,1.4759,1.49459,0.58548,0.54656,0.53758,0.27538,1.63021,1.85198,1.69305,0.00146896,0.00146896,0.00146896
8,161.436,1.54401,1.40988,1.47291,0.5869,0.66392,0.61583,0.35942,1.42806,1.41917,1.54267,0.00143595,0.00143595,0.00143595
9,181.722,1.48623,1.33771,1.41391,0.56961,0.58439,0.58403,0.32252,1.52946,1.50282,1.59497,0.00140295,0.00140295,0.00140295
10,200.983,1.48184,1.27287,1.41886,0.50936,0.58489,0.50796,0.28767,1.48658,1.64666,1.58847,0.00136994,0.00136994,0.00136994
11,220.825,1.51044,1.29422,1.42298,0.57031,0.71554,0.63643,0.36013,1.43233,1.36833,1.55321,0.00133693,0.00133693,0.00133693
12,240.165,1.44787,1.27857,1.41168,0.65782,0.57012,0.58026,0.32987,1.44694,1.60951,1.5861,0.00130393,0.00130393,0.00130393
13,259.641,1.48991,1.30127,1.43869,0.64142,0.76193,0.68607,0.39548,1.4254,1.27335,1.53637,0.00127092,0.00127092,0.00127092
14,279.086,1.40199,1.13593,1.35733,0.71199,0.6788,0.69185,0.39642,1.45669,1.19763,1.55767,0.00123791,0.00123791,0.00123791
